artist_id,firstname,lastname,source
3973,Anna,Glynn,<br />http://annaglynn.com/cv.html
8928,Rodney,Pople,<br />http://australiangalleries.com.au/artists/9-artists/156-rodneypople
24446,James,Drinkwater,<br />http://damienmintongallery.com.au/artists/james-drinkwater
21711,Natasha,Bieniek,"<br />http://diannetanzergallery.net.au/Natasha-Bieniek
<br />http://www.thisisnofantasy.com/lib/natasha-bieniek/Natahsa%20Bieniek%20TINF%20CV%202015.pdf"
24425,Anh,Do,<br />http://en.wikipedia.org/wiki/Anh_Do
6938,Penny,Mason,<br />http://pennymason.com.au/cv
24179,Peter,Smeeth,<br />http://petersmeeth.com/about-2/
21454,Kevin,Chin,<br />http://static1.squarespace.com/static/54f10485e4b03bfe55e91302/t/55b9f949e4b07e5cea571a32/1438251337725/KevinChinCV_2page20150731.pdf
21398,Valerie,Sparks,<br />http://valeriesparks.com.au/p/biography
244,Andrew,Antoniou,"<br />http://www.andrewantoniounow.com/resume.html
<br />http://www.australiangalleries.com.au/images/artists/andrewAntoniou/ANTONIOU_CV14_3.pdf
<br />http://annabelwallacegallery.com.au/andrew_antoniou.shtml"
24491,Craig,Handley,"<br />http://www.antheapolsonart.com.au/artist-details.php?artistID=253
<br />http://media.wix.com/ugd/1a7e7a_0de7205d2e506cd0b7f68315576d708c.pdf"
23786,Robert,Hague,"<br />http://www.artresources.com.au/roberthague/
<br />http://www.roberthague.com/sculpture/cv.htm
"
24286,Julian,Poon,<br />http://www.artslant.com
20729,Raymond,Arnold,"<br />http://www.australiangalleries.com.au/ag/artist/raymond_arnold/
<br />http://www.bettgallery.com.au/artists/arnold/cv.html
<br />http://www.australiangalleries.com.au/artists/raymond-arnold"
13015,Peter,Wegner,"<br />http://www.australiangalleries.com.au/images/artists/peterWegner/WegnerCV2013.pdf
<br />https://static1.squarespace.com/static/53462356e4b0ccfb82406d18/t/53d9ee5ae4b0eff5b69be02d/1406791258297/Peter_Wegner_C.V.pdf"
20099,Ben,Quilty,"<br />http://www.benquilty.com/cv.htm
<br />http://www.artgallery.nsw.gov.au/media/archives_2002/bwtas_winner_2002
<br />http://www.grantpirrie.com/GRANTPIRRIE/Ben_Quilty_2005/benquiltybio/index.shtml
<br />http://www.benquilty.com/cv.php"
1594,Jon,Campbell,"<br />http://www.darrenknightgallery.com/biograph/camp_cv.html
<br />http://www.uplandsgallery.com/artists_details.php?id=5
<br />http://www.darrenknightgallery.com/artists/campbell/cv_campbell.php
"
5371,Tim,Johnson,"<br />http://www.dominikmerschgallery.com/Biography.aspx?id=54
<br />http://members.ozemail.com.au/~tmjohnsn/cv.htm
<br />http://tolarnogalleries.com/artists/tim-johnson/"
21531,Fiona,Lowry,"<br />http://www.fionalowry.com.au/cv.php
<br />http://www.martinbrownecontemporary.com/cv_Lowry.html
<br />http://en.wikipedia.org/wiki/Fiona_Lowry"
654,Lionel,Bawden,"<br />http://www.grantpirrie.com/GRANTPIRRIE/Lionel_Bawden_2004/
<br />http://www.grantpirrie.com/GRANTPIRRIE/Lionel_Bawden_2004/lionelbawdenbio/index.shtml
<br />https://artereal.com.au/wp-content/uploads/2018/04/Lionel-Bawden-CV-2018.pdf"
14612,Jude,Rae,"<br />http://www.jensengallery.com/artist/?at=Jude+Rae&a=10&bio=y
<br>https://thecommercialgallery.com/media/document/34aaf85d6d6f5e2ed99877edd38bce13.pdf
"
